Product Name,Short Description,Price
Pendant Maria,14K White Gold & Lab Grown Diamond,$809.00
Pendant Zoya,14K Yellow Gold & Diamond,$446.00
Necklace Elsie,14K Rose & White Gold & Diamond,$761.00
Pendant Ming,14K White Gold & Diamond,$989.00
Pendant Yoshie,14K Yellow Gold & Lab Grown Diamond,$776.00
Pendant Carica,14K Yellow Gold & Diamond,$349.00
Pendant Arlenys,14K Yellow Gold & Emerald,$425.00
Necklace Liezel,14K Yellow Gold & Diamond,$567.00
Pendant Clovis,14K White Gold & Diamond,$686.00
Necklace Alastriona,14K Rose Gold & Diamond,"$1,419.00"
Pendant Assad,14K White Gold & Lab Grown Diamond,"$1,129.00"
Pendant Rufina,14K White Gold & Diamond,$616.00
Pendant Armelda,14K Yellow Gold & Lab Grown Diamond,$776.00
Pendant Keviona Ø8 mm,14K Rose Gold & Diamond & White Pearl,$377.00
Pendant Abtei,14K Rose Gold & Diamond,"$1,349.00"
Pendant Zenitha,14K Yellow Gold & Diamond,$555.00
Pendant Admissive,14K Yellow Gold & Garnet & Swarovski Crystal,$979.00
N/A,N/A,N/A
N/A,N/A,N/A
N/A,N/A,N/A
N/A,N/A,N/A
N/A,N/A,N/A
N/A,N/A,N/A
Pendant Olga,14K White Gold & Diamond,"$4,413.00"
Necklace Galaviz,14K Rose Gold & Rhodolite Garnet,$861.00
Pendant Arlecia,14K White Gold & Diamond,$495.00
Pendant Zykadial,14K Yellow Gold & Lab Grown Diamond,$611.00
Pendant Maillec,14K White Gold & Sapphire,$411.00
Pendant Winona,14K White Gold & Diamond,$558.00
Pendant Nishelle,14K Rose Gold & Diamond,"$29,123.00"
Pendant Vignale,14K White Gold & Diamond,$600.00
Pendant Eiarfro,14K White & Rose Gold & Moissanite,$925.00
SYLVIE Necklace Besplaten,14K Yellow Gold & Lab Grown Diamond,"$1,620.00"
SYLVIE Necklace Caeruleum,14K Yellow Gold & Diamond,$743.00
Pendant Tinatin,14K Rose Gold & Garnet & Swarovski Crystal,"$1,166.00"
Pendant Armetrice,14K White Gold & Blue Topaz,$459.00
Pendant Keviona Ø6 mm,14K Rose Gold & Diamond & White Pearl,$352.00
SYLVIE Pendant Mabuhay - S,14K Yellow Gold & Lab Grown Diamond,$503.00
Pendant Lena,14K White Gold & Sapphire,$422.00
Pendant Levite,14K White Gold & Lab Grown Diamond,$804.00
Pendant Burier,14K White Gold & Diamond,$441.00
Pendant Tranto,14K Yellow Gold & Moissanite,$464.00
Pendant Arnardia,14K White Gold & Blue Topaz,$598.00
Pendant Ahishar,14K Rose Gold & Amethyst,$857.00
Pendant Croce,14K Yellow Gold & Lab Grown Diamond,$647.00
Pendant Jolandi,14K White & Rose Gold & Diamond,$774.00
Necklace Harvey,14K White Gold & Lab Grown Diamond,$994.00
Necklace Lamyra,14K Yellow Gold & Ruby,$493.00
Pendant Amtsgericht,14K Rose Gold & Sapphire,$933.00
Pendant Kyuso,14K White Gold & Diamond,"$2,043.00"
Pendant Kinsey,14K White Gold & Diamond,"$6,402.00"
Pendant Trami,14K Yellow Gold & Moissanite,$403.00
Pendant Danny,14K White Gold & Ruby,$462.00
Pendant Agatane,14K Rose Gold & Pink Sapphire & Swarovski Crystal,"$1,022.00"
Pendant Plevna,14K White Gold & Sapphire,$440.00
Pendant Quax,14K Yellow Gold & Diamond,$608.00
Pendant Monissa,14K Yellow Gold & Diamond,"$6,002.00"
Pendant Zoila,14K Yellow Gold & Diamond,$713.00
Pendant Dyta,14K White Gold & Diamond,"$1,007.00"
Necklace Armita,14K Rose Gold & Emerald & Lab Grown Diamond,$434.00
Necklace Balloch,14K White Gold & Ruby & Moissanite,"$1,270.00"
Pendant Wolf,14K Yellow Gold & Moissanite,$668.00
Necklace Neta,14K White Gold & Diamond,"$5,015.00"
Pendant Kesha,14K Yellow Gold & Sapphire,"$1,055.00"
Necklace Tollefson,14K Rose Gold & Swarovski Red,$809.00
Pendant Cupide,14K White Gold & Ruby,$449.00
Pendant Jinny,14K White Gold & Emerald,$527.00
Pendant Lordanis,14K Yellow Gold & Ruby,$533.00
Pendant Pearly,14K White Gold & Diamond & White Pearl,$397.00
Pendant Arnecia,14K White Gold & Blue Topaz,$808.00
Pendant Lichas,14K White Gold & Ruby,$404.00
Pendant Accentc,14K White Gold & Diamond,$649.00
Pendant Gretta,14K Yellow Gold & Black Diamond,"$1,136.00"
Pendant Cassini,14K White Gold & Diamond,$575.00
Pendant Abai,14K White Gold & Moissanite,"$1,026.00"
Pendant Buroo,14K White Gold & Lab Grown Diamond,"$1,264.00"
Pendant Polin,14K White Gold & Diamond,"$1,799.00"
SYLVIE Pendant Mabuhay - A,14K Yellow Gold & Diamond,$563.00
Pendant Cefalania,14K Yellow Gold & Diamond,"$2,915.00"
Pendant Mecole,14K Rose Gold & Diamond,"$1,031.00"
Pendant Agen,14K White Gold & Lab Grown Diamond,"$1,765.00"
Pendant Inga,14K White & Yellow Gold  & Diamond,"$2,487.00"
Necklace Dalene,14K Yellow Gold & Emerald,$407.00
Necklace Lona,14K Rose & White Gold & Diamond,$796.00
Necklace Actor,14K Yellow Gold & Diamond,$943.00
Necklace Turtle,14K Yellow Gold & Blue Topaz,$405.00
Pendant Sharleey,14K Rose Gold & Diamond,$723.00
Pendant Millicent,14K Yellow Gold & Diamond,$673.00
Pendant Shellos,14K Yellow Gold & Sapphire,$842.00
Pendant Tashira,14K White Gold & Lab Grown Diamond,$930.00
Pendant Imene,14K White Gold & Sapphire,$744.00
Pendant Yoselin,14K White Gold & Diamond,$651.00
Necklace Tassin,14K Rose Gold & Pink Sapphire & Swarovski Crystal,$595.00
Pendant Murdrum,14K White Gold & Diamond,"$2,967.00"
Pendant Crucifix,14K Yellow Gold & Diamond,"$1,572.00"
Pendant Sophie,14K White Gold & Lab Grown Diamond,"$1,054.00"
Pendant Lerika Ø8 mm,14K White Gold & Diamond & Black Pearl,$938.00
Necklace Goblon,14K White Gold & Diamond,$349.00
Pendant Lynda,14K White Gold & Diamond,$371.00
Pendant Kestner,14K White Gold & Moissanite,$799.00
Pendant Loyal,14K White Gold & Diamond & White Pearl,$517.00
Pendant Outen 3.70 crt,14K Yellow Gold & Moissanite,"$1,424.00"
Pendant Bluey,14K White Gold & Sapphire,$447.00
Pendant Laima,14K Rose & White Gold & Emerald,$525.00
Pendant Arkadi,14K White Gold & Moissanite,"$1,146.00"
Necklace Orfalinda,14K White Gold & Diamond,$518.00
Pendant Elise,14K Yellow Gold & Diamond,"$24,069.00"
Pendant Melsa,14K Yellow Gold & Diamond,$537.00
Pendant Litho,14K White Gold & Moissanite,"$1,455.00"
Pendant Donitra,14K White Gold & Diamond,"$2,024.00"
Pendant Flor,14K Rose Gold & Yellow Diamond & Amethyst & Yellow Sapphire,$883.00
Pendant Dusknoir,14K White Gold & Diamond,$909.00
Necklace Aglaila,14K Yellow Gold & Black Sapphire & Swarovski Crystal,$815.00
Pendant Lucky,14K White Gold & Emerald,$733.00
Pendant Lovisa,14K White Gold & Sapphire,$601.00
Pendant Devonda,14K Yellow Gold & Lab Grown Diamond,$659.00
Pendant Outen 1.02 crt,14K Yellow Gold & Moissanite,$623.00
Necklace Olive,14K Yellow Gold & Sapphire,$638.00
Women's Pendant Bornes,14K Yellow Gold & Lab Grown Diamond,"$1,156.00"
Pendant Calissa,14K White Gold & Lab Grown Diamond,$694.00
Pendant Glebe,14K Rose Gold & Diamond,$616.00
Pendant Azade,14K Yellow Gold & Diamond,"$1,005.00"
Pendant Twig,14K Yellow Gold & Blue Topaz,$573.00
Pendant Adams,14K Rose Gold & Lab Grown Diamond,$645.00
Pendant Pratima,14K Yellow Gold & Diamond,"$2,140.00"
Pendant Dina,14K White Gold & Diamond,"$4,711.00"
Pendant Chenille,14K Yellow Gold & Diamond,$516.00
Necklace Sipura,14K Yellow Gold & Emerald,$463.00
Pendant Acety,14K Rose Gold & Diamond,$534.00
Pendant Cassandra,14K White Gold & Diamond,$587.00
Pendant Blanda,14K White Gold & Diamond,"$8,815.00"
Pendant Jayson,14K White Gold & Diamond,"$3,223.00"
Pendant Scorpio,14K White Gold & Lab Grown Diamond,"$1,345.00"
Pendant Villaggio,14K White Gold & Diamond,$595.00
Pendant Adela,14K Yellow Gold & Diamond,"$1,685.00"
Pendant Carburant,14K Yellow Gold & Diamond,"$1,061.00"
Pendant Amuser,14K Yellow Gold & Sapphire,$613.00
Necklace Nadianna,14K Rose Gold & Diamond,$642.00
Pendant Could,14K White Gold & Diamond,$399.00
Pendant Ballonne,14K White Gold & Ruby & Moissanite,$412.00
Pendant Mozelee,14K Yellow Gold & Diamond,$551.00
Necklace Freugde,14K Yellow Gold & Lab Grown Diamond,$772.00
Pendant Caw,14K White Gold & Moissanite & Swarovski Crystal,"$1,177.00"
Necklace Turmeric,14K White Gold & Diamond,$718.00
Pendant Pearly Ø10 mm,14K White Gold & Diamond & White Pearl,$661.00
Pendant Aguessac,14K White Gold & Lab Grown Diamond,"$1,654.00"
Pendant Victoire,14K Yellow Gold & Emerald,$727.00
Pendant Daniela,14K Yellow Gold & Diamond,"$3,952.00"
Necklace Lovissa,14K White Gold & Diamond,$583.00
Pendant Frodine,14K Yellow Gold & Diamond,"$3,658.00"
Necklace Denisa,14K White Gold & Diamond,"$11,977.00"
Pendant Yvette,14K White Gold & Diamond,$579.00
Pendant Tusemen,14K White Gold & Diamond,"$1,127.00"
